# Encore clue bank — the LONG half. WORD|clue, one per line.
#
# Encore is the 9x9 weekday / 11x11 Sunday crossword, so it needs entry lengths
# the mini never used. This file carries 6, 8 and 9 letters; the 3, 4, 5 and 7
# letter entries come from scripts/emcee-wordbank.txt, which the generator reads
# alongside this one. Same hard rule as that file: EVERY CLUE IS HAND-WRITTEN
# AND CLUES ITS OWN ANSWER. Never generate a clue from a dictionary or WordNet
# gloss — a gloss defines a whole synonym set, so it reliably clues the wrong
# word, which is exactly the failure that forced the Emcee bank rebuild in
# August 2026. Everyday words only: no obscurities, no crosswordese.
#
# ── 6 letters ──────────────────────────────────────────────────────────────
ABSURD|Plainly ridiculous
COLLAR|Shirt's neckband
COLUMN|Pillar, or a newspaper feature
COMBAT|Fighting
COMEDY|It should get laughs
COMICS|Sunday funnies
COMMIT|Pledge yourself
COMMON|Ordinary
COOKIE|Chocolate chip treat
COOLER|Ice chest
COPPER|Penny metal
CORNER|Where two streets meet
CORRAL|Fenced pen for horses
COSMIC|Of the whole universe
COSTLY|Expensive
COTTON|Shirt fiber
COUGAR|Mountain lion
COUPLE|Two of them
COUPON|Clip it and save
COURSE|Golf layout, or a class
COUSIN|Aunt's child
COYOTE|Desert howler
CRADLE|Baby's rocker
CRAFTY|Sly
CRATER|Hole a meteor makes
CRAYON|Waxy colorer
CREAMY|Smooth as custard
CREATE|Make from nothing
CREDIT|Where it is due
CRISIS|Emergency
CRITIC|The one who pans it
CROUCH|Get low on the haunches
CROWDS|Packed masses
CRUISE|Ship holiday
CRUMBS|What the toast leaves
CRUNCH|Sound of a fresh apple
CRUTCH|Sprained-ankle support
CUCKOO|Clock bird
CURFEW|Be home by then
CURSOR|Blinking screen marker
CURTSY|Bow's counterpart
CUSTOM|The way it is always done
CYCLES|Goes round again
DAGGER|Short blade
DAMAGE|Harm done
DAMPEN|Make slightly wet
DANCER|Ballroom performer
DANGER|Watch out
DARING|Bold
DEALER|Card handler
DEBATE|Argument with rules
DEBTOR|One who owes
DECADE|Ten years
DECEIT|Deliberate lying
DECENT|Good enough, and honest
DECIDE|Make the call
DECODE|Work out the secret message
DECOYS|Duck hunter's fakes
DEDUCE|Reason it out
DEEPER|Farther down
DEFEAT|A loss
DEFEND|Stand up for
DEFINE|Say what it means
DEGREE|Temperature unit, or a diploma
DELAYS|Airport board bad news
DELETE|Wipe it out
DELUXE|The fancy version
DEMAND|Insist on
DENIAL|Refusal to admit it
DENTAL|Of the teeth
DEPART|Leave
DEPEND|Rely
DEPUTY|Sheriff's second
DESERT|Sahara, for one
DESIGN|Plan for how it looks
DESIRE|Strong wanting
DETAIL|Small particular
DETECT|Pick up on
DEVICE|Gadget
DEVOUR|Wolf down
DIAPER|Baby's wrap
DIESEL|Truck fuel
DIGEST|Break down a meal
DIMPLE|Cheek indent
DINNER|The evening meal
DIRECT|Point the way, or straight
DISARM|Take away the weapons
DISMAY|Sinking feeling
DIVIDE|Split up
DOCTOR|The one with the stethoscope
DOLLAR|Hundred cents
DONKEY|Long-eared beast of burden
DOUBLE|Twice as much
DOUBTS|Second thoughts
DRAGON|Fire-breather of legend
DRAPES|Window hangings
DRAWER|Pull-out compartment
DREAMS|What sleep brings
DRIVER|Golf club, or the one at the wheel
DUFFEL|Soft gym bag
DUPLEX|Two-home building
EAGLES|Two under par, or the birds
EARNED|Worked for it
EASIER|Less trouble
EASTER|Egg-hunting Sunday
EDIBLE|Safe to eat
EDITOR|The one with the red pen
EFFECT|What the cause produces
EFFORT|The trying part
EIGHTH|Between seventh and ninth
EITHER|One or the other
ELBOWS|Arm joints
ELDEST|First-born
ELEVEN|Football team size
EMBERS|What the fire leaves
EMBLEM|Badge or symbol
EMPIRE|What Rome had
EMPLOY|Put on the payroll
ENABLE|Make it possible
ENCORE|One more song
ENDING|How the story finishes
ENERGY|What the battery holds
ENGAGE|Draw into it
ENGINE|Under the hood
ENOUGH|No more needed
ENSURE|Make certain of
ENTIRE|The whole thing
ENTREE|The main course
ENVIED|Wanted what they had
ERRAND|Quick trip to the shop
ESCAPE|Get out
ESTATE|Grand house and grounds
ETCHED|Cut into the glass
EUROPE|Continent of France and Spain
EVENLY|Fair shares all round
EVENTS|Things on the calendar
EXCEED|Go over the limit
EXCEPT|Other than
EXCESS|More than needed
EXCITE|Get someone worked up
EXCUSE|The dog ate my homework, e.g.
EXEMPT|Let off
EXHALE|Breathe out
EXOTIC|From somewhere far away
EXPAND|Get bigger
EXPECT|Count on it
EXPERT|The one who knows
EXPIRE|Run out of date
EXPORT|Ship it abroad
EXPOSE|Bring to light
EXTEND|Stretch out further
EXTENT|How far it goes
FABRIC|Bolt at the cloth shop
FACADE|Front of a building
FACIAL|Spa treatment
FACTOR|Something that contributes
FAILED|Did not manage it
FAIRLY|Justly, or moderately
FALCON|Hunting bird
FAMILY|Kin
FAMINE|Widespread hunger
FAMOUS|Everybody knows them
FARMER|Field worker
FASTEN|Do up the seatbelt
FATHER|Dad
FAUCET|Kitchen tap
FEDORA|Brimmed felt hat
FELINE|Of cats
FELLOW|Chap
FEMALE|Not male
FENCES|Yard dividers
FERRIS|Wheel at the fair
FERVOR|Burning enthusiasm
FIASCO|Complete flop
FIDDLE|Country violin
FIGURE|Number, or a shape
FILLED|Topped up
FILTER|Coffee maker part
FINALE|The last act
FINGER|Thumb's neighbor
FINISH|The line at the end of the race
FIRMLY|With no give
FISCAL|Of the budget year
FITTER|In better shape
FIXING|Repairing
FLAMES|What the fire throws
FLAVOR|Vanilla or chocolate
FLEECE|Sweatshirt fabric, or swindle
FLIGHT|What you board at the gate
FLINCH|React to the near miss
FLORAL|Patterned with flowers
FLOWER|Rose or tulip
FLUENT|Speaks it like a native
FLUTES|Champagne glasses, or the instruments
FLYING|Aloft
FOLDER|Where the papers go
FOLLOW|Come after
FONDLY|With warm feeling
FOREST|Woods on a big scale
FORGET|Let it slip your mind
FORGOT|Lost track of
FORMAL|Black tie
FORMAT|How it is laid out
FORMER|The earlier one
FOSSIL|Rock with a print of an old bone
FOURTH|July holiday, in the States
FRAMED|Put behind glass, or set up
FREEZE|Turn to ice
FRENCH|Of Paris
FRIDAY|The end of the work week
FRIEND|Someone you can call
FRIGHT|A bad scare
FRINGE|Edge of the crowd
FROZEN|Solid as ice
FRUITS|Apples and pears
FUMBLE|Drop the ball
FUNGUS|Mushroom's kind
FUNNEL|Cone for pouring
FUTURE|What is still to come
GADGET|Handy little device
GALAXY|The Milky Way, for one
GALLON|Four quarts
GARAGE|Where the car sleeps
GARDEN|Where you grow things
GARLIC|Bulb in the pasta sauce
GATHER|Bring together
GAUGES|Dashboard dials
GEARED|Set up for it
GENDER|Male or female
GENIUS|Real brilliance
GENTLE|Soft-handed
GERBIL|Small caged pet
GEYSER|Old Faithful, for one
GIGGLE|Small laugh
GINGER|Root in the biscuit
GIRDER|Steel beam
GLANCE|Quick look
GLIDER|Engineless aircraft
GLOOMY|Overcast and low
GLOSSY|Like magazine paper
GLOVES|Winter hand wear
GOALIE|Net minder
GOBLET|Stemmed drinking cup
GOBLIN|Storybook imp
GOLDEN|Like a retriever, or the color
GOSPEL|The absolute truth
GOSSIP|Talk about the neighbors
GOVERN|Rule the country
GRAINS|Wheat and barley
GRANDE|Coffee shop middle size
GRAPES|Vine bunch
GRAPHS|Charts with axes
GRATED|Shredded on a box
GRAVEL|Driveway stones
GREASE|Frying fat
GREECE|Home of the Parthenon
GREEDY|Wanting far too much
GRILLE|Front of the car
GROCER|Food shopkeeper
GROOVE|Record's track
GROUND|What you stand on
GROUPS|Sets of people
GROWTH|Getting bigger
GRUMPY|One of the seven dwarfs, and cranky
GUITAR|Six-string instrument
GUNMAN|Armed robber
GUTTER|Roof's rain channel
HALVES|Two equal parts
HAMLET|Small village, or the Dane
HAMMER|Nail driver
HAMPER|Laundry basket, or hinder
HANDLE|Door grip
HANGAR|Where the plane parks
HANGER|It holds the coat
HAPPEN|Take place
HARBOR|Where boats shelter
HARDER|Tougher
HARDLY|Barely at all
HASSLE|A real bother
HATRED|Deep loathing
HAULED|Dragged along
HAVING|Possessing
HAZARD|Bunker, or a danger
HEADED|Bound for
HEALTH|Drink to it
HEARTS|Card suit
HEATED|Warmed, or angry
HEAVEN|The other place
HEDGES|Trimmed garden walls
HEIGHT|How tall
HELMET|Bike safety gear
HELPED|Gave a hand
HERBAL|Like some teas
HEREBY|By this act
HEROES|Ones who run in
HIDDEN|Out of sight
HIGHER|Farther up
HIKING|Trail walking
HINDER|Get in the way of
HOCKEY|Puck sport
HOLDER|Cup's carrier
HOLLOW|Empty inside
HOMAGE|Tribute paid
HONEST|Truthful
HONORS|Graduation distinction
HOODIE|Sweatshirt with a top
HORNET|Nasty stinger
HORROR|Scary movie genre
HOSTEL|Cheap traveler's bed
HOTDOG|Ballpark food, or a showoff
HOTELS|Where you check in
HUMBLE|Not full of yourself
HUMMED|Sang without words
HUNGER|The empty feeling
HUNGRY|Ready for dinner
HUNTER|One who tracks
HURDLE|Track barrier, or an obstacle
HUSTLE|Get moving
HYBRID|Part gas, part electric
HYPHEN|Little joining dash
ICEBOX|Old name for the fridge
ICICLE|Hanging winter spike
IGNORE|Pay no attention to
IMAGES|Pictures
IMPACT|The moment of collision
IMPORT|Bring in from abroad
IMPOSE|Force it on someone
INCOME|What comes in
INDEED|Quite so
INDENT|Start of the paragraph
INDIGO|Between blue and violet
INDOOR|Not out in the weather
INFANT|The very young one
INFORM|Let them know
INHALE|Breathe in
INJURY|Sideline cause
INLAND|Away from the coast
INNING|Ninth of a ballgame
INSANE|Out of your mind
INSECT|Six-legged crawler
INSERT|Slip it in
INSIDE|Indoors
INSIST|Refuse to drop it
INTACT|Not a scratch on it
INTEND|Mean to
INTENT|What you meant to do
INVADE|March in uninvited
INVENT|Come up with it first
INVEST|Put money in
INVITE|Ask them along
INWARD|Toward the middle
IRONIC|The opposite of what you'd expect
ISLAND|Land with water all round
ISSUES|Problems, or magazine numbers
ITALIC|Slanted type
ITSELF|On its own
JACKET|Coat
JAGUAR|Spotted big cat
JERSEY|Team shirt
JEWELS|Crown stones
JIGSAW|Puzzle of pieces
JOCKEY|Horse rider in silks
JOGGER|Park runner
JOINED|Became a member
JOKING|Not serious
JOSTLE|Push through the crowd
JOYFUL|Full of delight
JUDGES|The ones on the bench
JUGGLE|Keep three in the air
JUNGLE|Thick tropical forest
JUNIOR|The younger one
JUNKET|Trip on someone else's money
JURIES|Twelve, twelve times
KARATE|Chopping martial art
KEEPER|One worth holding on to
KENNEL|Where the dog boards
KERNEL|Corn's grain
KETTLE|It whistles when it boils
KEYPAD|Number entry panel
KIDNEY|Bean, or the organ
KITTEN|Young cat
KNIGHT|Chess horse, or Sir
KNIVES|Cutlery drawer blades
LABELS|Jar stickers
LABORS|Works hard
LADDER|Rungs to climb
LADIES|Room sign
LAGOON|Sheltered shallow water
LAMENT|Mourn out loud
LANDED|Touched down
LAPTOP|Portable computer
LARGER|More sizable
LATELY|Of late
LATTER|The second of the two
LAUNCH|Send the rocket up
LAWYER|Bar member
LAYERS|Onion has them
LEADER|The one out front
LEAGUE|Where the teams play
LEANED|Tilted
LEAVES|Rake target
LEDGER|Book of accounts
LEGACY|What you leave behind
LEGEND|Map key, or a great
LEMONS|Sour yellow fruit
LENGTH|How long
LESSEN|Cut down
LESSON|What the teacher gives
LETTER|A through Z, or mail
LEVERS|Pry bars
LIGHTS|Stadium's night helpers
LIKELY|Probable
LIMBER|Loose and flexible
LINGER|Hang about
LIQUID|Neither solid nor gas
LISTEN|Lend an ear
LITTER|Roadside trash, or a batch of pups
LIVELY|Full of go
LIZARD|Sunbathing reptile
LOAVES|Bakery output
LOCALS|The people who live there
LOCKER|School hallway cubby
LOCKET|Photo pendant
LODGES|Mountain inns
LOFTED|Hit it high
LONELY|Wanting company
LONGER|Not so short
LOOKED|Cast an eye
LOOSEN|Slacken off
LOTION|Skin cream
LOUDER|Turn it up
LOUNGE|Sitting room
LOVELY|Really rather nice
LOWEST|Rock bottom
LUXURY|The good life
LYRICS|The words to the song
MADMAN|Raving one
MAGNET|Fridge sticker with a pull
MAIDEN|First voyage
MAILED|Sent by post
MAKEUP|Lipstick and mascara
MAMMAL|Whale or human
MANAGE|Get it done, or run the shop
MANGER|Nativity crib
MANGLE|Wreck completely
MANIAC|Wild one
MANNER|The way you do it
MANTEL|Above the fireplace
MANUAL|The book that came with it
MARBLE|Kid's shooter, or the stone
MARGIN|Page's blank edge
MARINE|Of the sea, or a soldier
MARKED|Graded, or noticeable
MARKET|Where the stalls are
MARROW|Inside the bone
MARTIN|Swallow-like bird
MASCOT|Sideline costume
MASTER|The one in charge
MATTER|Substance, or importance
MATURE|Grown up
MEADOW|Grassy field
MEDALS|Podium hardware
MEDIAN|Middle value
MEDIUM|Between small and large
MELODY|The tune
MEMBER|One of the club
MEMORY|What you keep of it
MENTAL|Of the mind
MENTOR|Guiding elder
MERELY|Only
MERGER|Two companies become one
MERITS|Deserves
METHOD|The way it is done
METRIC|Of meters and grams
MIDDAY|Noon
MIDWAY|Fairground strip
MIGHTY|Very powerful
MILDLY|Not to put too fine a point on it
MILLER|Grain grinder
MINGLE|Work the party
MINUTE|Sixty seconds
MIRROR|What you check your hair in
MISERY|Real wretchedness
MISFIT|One who does not belong
MISSED|Failed to hit
MISTER|Title before a surname
MOBILE|On the move, or a crib hanger
MODERN|Of right now
MODEST|Not boastful
MOLTEN|Melted rock hot
MOMENT|Just a
MONDAY|Back-to-work day
MONKEY|Zoo swinger
MONTHS|Twelve a year
MORALE|The team's spirits
MORTAL|Not going to live forever
MOSAIC|Picture in little tiles
MOSQUE|Muslim place of worship
MOTHER|Mom
MOTIVE|Detective wants one
MOTORS|Engines
MOUNTS|Climbs, or picture frames
MOURNS|Grieves
MOUSSE|Chocolate dessert
MUFFIN|Blueberry breakfast bake
MUFFLE|Deaden the sound
MURDER|Case for the detective
MURMUR|Low steady sound
MUSCLE|What the gym builds
MUSEUM|Where the exhibits are
MUSKET|Old long gun
MUSLIN|Light cotton cloth
MUSTER|Round up the troops
MUTTER|Grumble under your breath
MUTUAL|Shared both ways
MYSELF|Yours truly
MYSTIC|Of the unexplainable
NAPKIN|Lap cloth
NARROW|Not wide
NATION|Country
NATIVE|Born there
NATURE|The great outdoors
NEARBY|Just around the corner
NEARLY|Almost
NEATLY|Tidily
NEEDLE|It has an eye
NEPHEW|Sister's son
NERVES|What the big night frays
NEURAL|Of the nerves
NEUTER|Neither masculine nor feminine
NEWEST|The latest one
NIBBLE|Take a small bite
NICELY|Well done
NICKEL|Five cents
NIGHTS|When the stars are out
NIMBLE|Light on the feet
NINETY|A decade short of a century
NOBODY|Not a soul
NOODLE|Ramen strand
NORMAL|The usual
NOTICE|Spot it, or a posted sign
NOTIFY|Send word to
NOVELS|Fiction on the shelf
NUGGET|Gold find, or a chicken bite
NUMBER|One, two, three
NURSES|Ward staff
NUTMEG|Eggnog spice
OBJECT|Thing, or protest
OBLIGE|Do them the favor
OBTAIN|Get hold of
OCCUPY|Take up the space
OCTAVE|Do to do
OFFEND|Give someone a reason to be cross
OFFERS|Bids
OFFICE|Where the desk is
OFFSET|Balance out
OLDEST|First in line by years
ONIONS|They make you cry
ONLINE|On the internet
ONWARD|Keep going
OPENER|Bottle tool, or the first game
OPERAS|Nights at the Met
OPPOSE|Come out against
OPTION|One of the choices
ORACLE|Ancient teller of the future
ORANGE|Citrus, and the color
ORCHID|Elegant potted bloom
ORDEAL|A rough time of it
ORDERS|What the sergeant gives
ORGANS|Heart and lungs
ORIGIN|Where it started
ORPHAN|Annie, famously
OSPREY|Fish-hunting hawk
OTHERS|The rest of them
OUNCES|Sixteen to a pound
OUTAGE|The lights go out
OUTFIT|The whole ensemble
OUTING|Day trip
OUTLAW|Wanted poster subject
OUTLET|Where you plug it in
OUTPUT|What the factory turns out
OUTRUN|Leave in the dust
OUTSET|The very beginning
OXYGEN|What you breathe in
OYSTER|The world is your what
PACKED|Bags are ready
PADDLE|Canoe mover
PAGODA|Tiered eastern tower
PAINTS|Artist's tubes
PAIRED|Matched up two by two
PALACE|Where the king lives
PANDAS|Bamboo eaters
PANELS|Wall sections
PANTRY|Where the tins are kept
PAPERS|Documents
PARADE|Marching bands down Main Street
PARCEL|Package in the post
PARDON|Beg yours
PARENT|Mother or father
PARISH|Church district
PARLOR|Front sitting room
PARROT|It repeats what you say
PARTLY|Not entirely
PASSED|Went by, or got the test
PASTEL|Soft chalky color
PASTOR|Church leader
PASTRY|What the danish is made of
PATCHY|Good in spots
PATENT|Inventor's protection
PATROL|Beat walk
PAUPER|Prince's opposite
PAUSED|Hit the button and waited
PAYING|Settling the bill
PEACHY|Just fine
PEANUT|Ballgame nut
PEBBLE|Small smooth stone
PEDALS|Bike parts you push
PEDDLE|Sell door to door
PENCIL|It has an eraser
PEOPLE|Folks
PEPPER|Salt's partner
PERIOD|Full stop
PERMIT|Allow, or a license
PERSON|Individual
PHRASE|Turn of one
PICKED|Chose
PICKLE|Deli spear, or a jam
PICNIC|Basket and a blanket
PIGEON|Park bird
PILLAR|Supporting column
PILLOW|Head rest
PILOTS|Cockpit crew
PIRATE|Jolly Roger flier
PISTOL|Handgun
PISTON|It moves in the cylinder
PLACES|Everyone to their own, on set
PLAGUE|Sweeping sickness
PLANET|Mars, for one
PLANKS|Deck boards
PLANTS|Green things in pots
PLASMA|Blood's liquid part
PLATES|Dinner service pieces
PLAYER|One on the team
PLEASE|The magic word
PLEDGE|A solemn promise
PLENTY|More than enough
PLIERS|Gripping tool
PLOWED|Turned the field over
PLUNGE|Take the
POCKET|Where the keys go
POETRY|Verse
POINTS|Score, or sharp ends
POISON|Skull and crossbones warning
POLICE|Nine-one-one responders
POLICY|The rule of the house
POLISH|Shoe shine
POLLEN|Hay fever cause
PONDER|Turn it over in your mind
POPPED|Burst, or dropped in
PORTAL|Grand doorway
PORTER|Station bag carrier
POSTED|Put it in the mail
POSTER|Wall print
POTATO|Chip's source
POTTER|Wheel worker
POUNCE|What the cat does
POWDER|Fresh snow, or talc
PRAISE|Kind words
PRANKS|April Fools' tricks
PRAYER|Words said with eyes closed
PREACH|Give the sermon
PRETTY|Good-looking
PRICES|Tags on the shelf
PRIEST|Confession hearer
PRIMER|Paint's first coat
PRINCE|King's son
PRINTS|Fingertip evidence
PRISON|Where the sentence is served
PRIZES|Fair booth rewards
PROFIT|What is left after costs
PROMPT|On time, or a nudge
PROPER|As it should be
PROVEN|Shown beyond doubt
PUBLIC|Everybody
PUDDLE|Rain leaves it
PULLEY|Rope and wheel lifter
PULPIT|Where the sermon comes from
PUNISH|Make them pay for it
PUPILS|Class members, or eye parts
PUPPET|String-worked figure
PURELY|Only and entirely
PURPLE|Grape color
PURSUE|Chase after
PUZZLE|What you are doing right now
QUARRY|Stone pit, or the hunted
QUARTZ|Watch crystal
QUEENS|Chess's strongest, and a New York borough
QUIVER|Arrow holder, or tremble
QUOTES|Speech marks
RABBIT|Hat dweller
RACING|Flat out
RACKET|Tennis gear, or a din
RADIOS|Dial sets
RAGING|Absolutely furious
RAIDER|Raider of the lost ark, e.g.
RAISED|Lifted, or brought up
RAISIN|Dried grape
RAMBLE|Wander on and on
RANDOM|By chance
RANGER|Park warden
RANSOM|Kidnapper's price
RAPIDS|White water
RARELY|Hardly ever
RATHER|Somewhat, or preferably
RATING|Star score
RATIOS|Two to one, three to two
RATTLE|Baby's shaker
RAVINE|Steep narrow valley
RAZORS|Shaving blades
READER|One with a book
REALLY|Truly
REALTY|Property business
REASON|The why of it
REBELS|Ones who rise up
RECALL|Bring to mind
RECESS|School break
RECIPE|Cook's instructions
RECKON|Figure it to be so
RECORD|Vinyl disc, or the best ever
REDUCE|Bring down
REFORM|Change for the better
REFUGE|A safe place
REFUND|Money back
REFUSE|Say no
REGARD|High esteem
REGION|Part of the country
REGRET|Wish you hadn't
REHEAT|Put it back in the microwave
REJECT|Turn it down
RELATE|Connect with
RELAYS|Baton races
RELENT|Finally give in
RELIEF|What the aspirin brings
RELISH|Hot dog topping, or enjoy
REMAIN|Stay put
REMARK|Passing comment
REMEDY|The cure
REMIND|Jog the memory
REMOTE|Far off, or the clicker
REMOVE|Take away
RENDER|Give, or draw
RENEWS|Signs up again
RENTAL|What you hire
REPAIR|Fix
REPEAT|Say it again
REPLAY|Roll the tape back
REPORT|Card sent home
RESCUE|Save from danger
RESENT|Hold it against them
RESIDE|Live at
RESIGN|Hand in your notice
RESIST|Push back against
RESORT|Holiday spot, or last option
RESULT|What comes of it
RESUME|Pick it back up
RETAIL|Shop selling
RETAIN|Hold on to
RETIRE|Hang up the boots
RETURN|Come back
REVEAL|Show at last
REVERE|Hold in awe
REVIEW|Look it over again
REVISE|Go over the draft
REWARD|What the poster offers
RHYMES|Moon and June do
RIBBON|Prize strip
RIDDLE|Puzzling question
RIDGES|Mountain spines
RIFLES|Long guns
RIGHTS|What you have by law
RIGGED|Fixed in advance
RINSED|Ran under the tap
RIPPLE|Small water ring
RISING|On the way up
RITUAL|The same thing every time
RIVALS|The other side
ROBBER|Bank thief
ROBINS|Red-breasted birds
ROBOTS|Factory arms
ROCKET|It goes to the moon
RODENT|Rat or mouse
ROOKIE|First-year player
ROSTER|The team list
ROTATE|Turn on the spot
ROTTEN|Spoiled through
ROUNDS|Boxing bouts, or the doctor's
ROUTES|Ways to get there
ROVING|On the wander
RUBBER|Eraser material
RUBBLE|What is left of the wall
RUFFLE|Frilly trim, or upset
RUGGED|Tough terrain
RULERS|Kings and queens, or measuring sticks
RUMBLE|Distant thunder sound
RUNNER|Marathon entrant
RUNWAY|Where the plane lands
RUSSIA|Moscow's country
RUSTIC|Charmingly countryish
SACRED|Holy
SADDLE|Horse seat
SAFARI|Game drive
