ABANDON|Leave behind
CHIP|Snack crisp
CHOIR|Church singers
CHOSE|Picked
CIDER|Fall drink
CIRCLES|Round shapes
CIRCUIT|Closed loop
CITY|Urban center
CIVIC|Of the city
CLAIM|Assert
CLAM|Chowder shellfish
CLARITY|Clearness
CLASS|School group
CLAY|Potter's material
CLEAN|Spotless
CLEAR|See-through
CLIFF|Steep drop
CLIMATE|Long-term weather
CLIMB|Scale a peak
CLIMBER|Peak seeker
CLIP|Paper fastener
CLOCK|Wall timekeeper
CLOSE|Shut
CLOSEST|Nearest
CLOTH|Fabric
CLOTHES|Wardrobe contents
CLOUD|Sky puff
CLUB|Golfer's stick
CLUE|Detective's lead
COACH|Team leader
COAL|Stocking filler for the naughty
COAST|Shoreline
COAT|Winter wear
COB|Corn's core
COD|Fish-and-chips fish
COFFEES|Morning orders
COG|Gear tooth
COIN|Pocket change
COLD|Winter's quality
COLLECT|Gather up
COLLEGE|Campus
COLOR|Crayon's job
COMFORT|Ease
COMMAND|Order
COMMENT|Remark
COMPACT|Small and neat
COMPANY|Firm
COMPARE|Weigh side by side
COMPASS|North finder
COMPETE|Vie
COMPLEX|Complicated
CONCERN|Worry
CONCERT|Live show
CONDUCT|Lead an orchestra
CONFIRM|Make certain
CONNECT|Join up
CONSENT|Say yes
CONTACT|Get in touch with
CONTAIN|Hold inside
CONTENT|Satisfied
CONTEST|Competition
CONTROL|Take charge of
COO|Dove's sound
COOK|Make dinner
COOKIES|Jar contents
COOKING|Kitchen work
COOL|Chilly
COP|Officer on a beat
CORD|Extension ___
CORE|Apple's center
CORN|Cob crop
CORRECT|Right
COST|Price tag figure
COSTUME|Halloween outfit
COT|Camp bed
COTTAGE|Small country house
COUCH|Living room lounger
COUGH|Cold symptom
COUNT|Tally up
COUNTED|Tallied
COUNTRY|Nation
COUPLES|Twosomes
COURAGE|Bravery
COURT|Tennis surface
COUSINS|Aunt's kids
COVER|Book's front
COW|Milk giver
CRACK|Sidewalk line
CRACKER|Cheese's partner
CRAFT|Handmade art
CRAFTED|Made by hand
CRANE|Building site lifter
CRASH|Fender bender
CRAWL|Baby's move
CREAM|Coffee lightener
CREATED|Made
CREW|Boat's team
CRICKET|Chirping insect
CRISP|Like fall air
CROP|Farmer's yield
CROSS|Go over
CROWD|Big group
CROWN|King's headwear
CRUSHED|Squashed
CRUST|Pizza's edge
CRY|Shed tears
CRYSTAL|Clear quartz
CUB|Young bear
CUD|Cow's chew
CUE|Pool player's stick
CULTURE|Arts and customs
CUP|Coffee holder
CURL|Hair twist
CURTAIN|Window drape
CURVE|Road's bend
CUSTOMS|Border checkpoint
CUT|Use scissors on
CUTE|Adorable
CYCLE|Bike
DAB|Light touch
DAD|Father
DAILY|Every day
DAIRY|Milk section
DAM|Beaver's build
DANCE|Do the twist
DANCERS|Ballet performers
DARK|Lights out
DARKEST|Least lit
DASH|Quick sprint
DATE|Calendar entry
DAWN|Sunrise
DAY|Twenty-four hours
DEAL|Bargain
DEAR|Beloved
DECIDED|Made up one's mind
DECK|Cards, collectively
DECLINE|Turn down
DEEP|Far down
DEFENSE|Team's other half
DELAY|Hold up
DELIVER|Drop off
DELTA|River's mouth
DEN|Cozy home room
DENTIST|Tooth doctor
DEPOSIT|Bank a check
DEPTH|How deep
DESERTS|Dry expanses
DESK|Office table
DESSERT|Meal's sweet finish
DETAILS|Fine points
DEVELOP|Grow
DEW|Morning grass wetness
DIAMOND|April birthstone
DIARY|Daily journal
DIE|Cube with pips
DIET|Eating plan
DIG|Use a shovel
DIGITAL|Not analog
DIM|Turn down, as lights
DIME|Ten cents
DINE|Eat out
DINNERS|Evening meals
DIP|Chip's companion
DIRT|Garden soil
DISCUSS|Talk over
DISH|Dinner plate
DISPLAY|Store window
DISTANT|Far off
DITCH|Roadside trench
DIVE|Head into the pool
DIVER|Pool plunger
DIVIDED|Split up
DOCK|Boat's parking
DOE|Female deer
DOG|Leash wearer
DOLPHIN|Clever sea mammal
DOME|Capitol topper
DON|Put on
DOOR|Room's entrance
DOSE|Medicine amount
DOT|Period, basically
DOUGH|Baker's mix
DOVE|Peace bird
DOZEN|Bakery count
DRAFT|First version
DRAIN|Sink hole
DRANK|Downed
DRAW|Sketch
DRAWERS|Dresser parts
DRAWING|Sketch
DREAM|Sleep story
DRESS|Frock
DRESSED|Put clothes on
DRIFT|Float along
DRILL|Hole maker
DRINK|Sip
DRIVE|Take the wheel
DRIVERS|Ones at the wheel
DROPPED|Let fall
DROVE|Took the wheel
DRUM|Kit piece
DRY|Not wet
DUB|Give a nickname
DUCK|Pond quacker
DUD|Flop
DUE|Owed
DUG|Excavated
DUNE|Sand hill
DUO|Twosome
DUSK|Day's end light
DUST|Shelf film
DYE|Change the color of
EACH|Every one
EAGLE|Bald bird
EAR|Corn unit
EARLY|Before time
EARN|Work for
EARTH|Third rock from the sun
EASTERN|Toward the sunrise
EASY|Not hard
EAT|Have a meal
EBB|Tide's retreat
ECONOMY|Coach class
EDGE|Table's rim
EDIT|Clean up copy
EDITION|Print run
EEL|Slippery swimmer
EGG|Breakfast oval
EGO|Sense of self
EIGHT|Spider's leg count
ELBOW|Arm's bend
ELDERLY|Getting on in years
ELEGANT|Stylish
ELEMENT|Table entry
ELF|Santa's helper
ELK|Antlered animal
ELM|Shade tree
EMOTION|Feeling
EMPLOYS|Hires
EMPTY|Vacant
EMU|Flightless bird
END|Finish
ENGINES|Motors
ENJOY|Have a good time
ENJOYED|Had fun with
ENTER|Go in
ENTERED|Went in
EPIC|Grand tale
EPISODE|Series installment
EQUAL|The same as
EQUALLY|In the same measure
ERA|Historic stretch of time
ERASE|Rub out
ERR|Slip up
ESCAPED|Broke out
EVE|Night before
EVEN|Not odd
EVENING|After dinner hours
EVENT|Big occasion
EVERY|Each one
EWE|Female sheep
EXACT|Spot on
EXAM|Big test
EXAMPLE|For instance
EXCITED|Thrilled
EXHIBIT|Museum display
EXIST|Be
EXIT|Way out
EXPENSE|Cost
EXPLAIN|Make clear
EXPLORE|Set out to discover
EXPRESS|Fast train
EXTRA|Spare
EXTREME|Way out there
EYE|Needle's hole
EYEBROW|Forehead arch
FACE|Clock's front
FACT|Not an opinion
FACTORS|Contributing causes
FACTORY|Plant
FAD|Passing craze
FADE|Grow dim
FAILURE|Flop
FAIR|Even-handed
FAITH|Belief
FALL|Autumn
FALSE|Not true
FAN|Summer cooler
FANCY|Dressed up
FANTASY|Daydream
FAR|A long way off
FARM|Tractor's home
FARMERS|Field workers
FASHION|Runway world
FAST|Speedy
FAULT|Blame
FAVOR|Kind turn
FEAR|Dread
FEAST|Big meal
FEATHER|Bird's plume
FEATURE|Main attraction
FEE|Charge for service
FENCE|Yard border
FENCING|Sword sport
FERN|Shade plant
FERRY|Harbor shuttle
FEVER|Thermometer reading
FEW|Not many
FEZ|Tasseled hat
FIB|Little white lie
FICTION|Made-up stories
FIELD|Farmer's plot
FIFTEEN|Quarter hour minutes
FIFTH|Between fourth and sixth
FIG|Newton's fruit
FIGHT|Scrap
FIGURES|Numbers
FILLING|Pie's inside
FILM|Movie
FIN|Shark's giveaway
FINAL|Last
FIND|Come across
FINDING|Discovery
FINE|Just dandy
FINGERS|Hand's five
FINLAND|Helsinki's country
FIR|Christmas tree
FIRE|Campsite blaze
FIRST|Number one
FISH|Angler's catch
FISHING|Rod and reel pastime
FIST|Clenched hand
FIT|In good shape
FITNESS|Gym goal
FIX|Repair
FLAG|Pole flier
FLAME|Candle's tip
FLASH|Camera burst
FLAT|Level
FLAVORS|Ice cream choices
FLEA|Tiny biter
FLEET|Ship group
FLEW|Took wing
FLIP|Coin toss
FLOAT|Stay on top
FLOCK|Sheep group
FLOOD|Rising water
FLOOR|Room's bottom
FLOUR|Baking basic
FLOWERS|Bouquet contents
FLU|Winter bug
FLUTE|Woodwind
FLY|Travel by plane
FOAM|Latte's top
FOCUS|Zero in
FOE|Enemy
FOG|Low cloud
FOLD|Crease
FOLDERS|Filing cabinet items
FOOD|Dinner
FOOT|Twelve inches
FOOTAGE|Filmed material
FOR|In favor of
FORCE|Push or pull
FORK|Table utensil
FORM|Paperwork sheet
FORTH|Onward
FORTUNE|Great wealth
FORTY|Half of eighty
FORWARD|Ahead
FOUND|Located
FOX|Sly one
FRAGILE|Handle with care
FRAME|Picture border
FREE|No charge
FREEDOM|Liberty
FREEZER|Ice cube maker
FRESH|Just picked
FRIENDS|Pals
FROG|Lily pad hopper
FRONT|Not the back
FROST|Window's winter lace
FRUIT|Apple or pear
FRY|Cook in oil
FUEL|Tank filler
FULL|No more room
FUN|A good time
FUNNY|Good for a laugh
FUR|Cat's coat
GAB|Chatter
GAG|Joke
GAL|Young woman
GALLERY|Art showroom
GAME|Board night activity
GAP|Space between
GARAGES|Car shelters
GARDENS|Flower beds
GAS|Pump purchase
GATE|Fence door
GATEWAY|Entrance
GEAR|Bike shifter
GEL|Hair goo
GEM|Ring's sparkler
GENERAL|Army leader
GENUINE|The real thing
GESTURE|Wave, say
GHOST|Sheet wearer
GIANT|Huge one
GIFT|Present
GIG|One-night job
GIGGLES|Light laughs
GIRAFFE|Long-necked grazer
GIRL|Young lass
GLAD|Pleased
GLASS|Window pane
GLASSES|Spectacles
GLIMPSE|Quick look
GLOBE|World model
GLORY|Great honor
GLOW|Soft light
GLUE|Craft sticker
GNU|African antelope
GOAL|Net's reward
GOAT|Billy or nanny
GOLD|First place metal
GOLF|Course sport
GONE|Departed
GOO|Sticky stuff
GOOD|Not bad
GOOSE|Honking bird
GOT|Obtained
GOWN|Formal dress
GRAB|Snatch
GRACE|Elegance
GRADE|Report card mark
GRAIN|Wheat kernel
GRAMMAR|Language rules
GRAND|Impressive
GRANDMA|Mom's mom
GRANITE|Countertop rock
GRANT|Bestow
GRAPE|Wine fruit
GRASP|Take hold of
GRASS|Lawn cover
GRAVITY|What keeps you down
GRAVY|Turkey topper
GRAY|Storm cloud color
GREAT|Terrific
GREATER|Bigger
GREEN|Grass color
GREET|Say hello
GREW|Got taller
GRILL|Backyard cooker
GRIN|Wide smile
GRIP|Firm hold
GROCERY|Supermarket
GROUP|Bunch
GROW|Get bigger
GUARD|Watch over
GUESS|Take a stab
GUEST|Visitor
GUIDE|Tour leader
GUM|Chew that isn't food
GUT|Instinct
GUY|Fellow
GYM|Workout spot
HABIT|Routine
HABITAT|Natural home
HAD|Possessed
HAG|Storybook witch
HAIL|Ice from the sky
HAIR|Comb's target
HALF|Fifty percent
HALL|Corridor
HAM|Deli meat
HAMMERS|Nail drivers
HAMSTER|Wheel-running pet
HAND|Clock pointer
HANDBAG|Purse
HANDLED|Dealt with
HANG|Put on a hook
HANGING|Suspended
HAPPENS|Occurs
HAPPILY|With joy
HAPPY|Cheerful
HARBORS|Ports
HARD|Tough
HARM|Do damage to
HARSH|Severe
HARVEST|Fall gathering
HAS|Owns
HASTE|Big hurry
HAT|Head topper
HATCH|Break out of a shell
HAWK|Sharp-eyed bird
HAY|Barn bale
HEAD|Hat's rest
HEAL|Get better
HEALTHY|In good shape
HEAP|Big pile
HEAR|Pick up with your ears
HEARING|Sense of sound
HEART|Valentine shape
HEAT|Oven setting
HEAVIER|More weighty
HEAVY|Hard to lift
HEDGE|Yard shrub row
HEEL|Shoe's back
HELD|Kept a grip on
HELLO|Greeting
HELMETS|Head protection
HELP|Lend a hand
HEM|Skirt's edge
HEN|Egg layer
HER|Belonging to she
HERB|Basil or thyme
HERD|Cattle crowd
HERO|Caped rescuer
HEY|Attention getter
HID|Stashed away
HIDE|Seek's partner
HIGH|Way up there
HIGHWAY|Interstate
HIKE|Trail walk
HILL|Small rise
HIM|That fellow
HINT|Small nudge
HIP|Waist neighbor
HIRE|Take on staff
HIS|Belonging to he
HISTORY|Past, as a subject
HIT|Chart topper
HIVE|Bee's home
HOE|Garden tool
HOG|Barnyard oinker
HOLD|Grasp
HOLE|Donut's center
HOLIDAY|Day off
HOME|Where the heart is
HONESTY|Truthfulness
HOOK|Angler's barb
HOP|Bunny's move
HOPE|Wish for
HORN|Trumpet
HORSE|Stable dweller
HOSE|Garden waterer
HOST|Party thrower
HOT|Like a stove top
HOTEL|Traveler's stay
HOUR|Sixty minutes
HOUSE|Home
HOUSING|Where people live
HOW|Question word
HUB|Wheel's center
HUE|Shade of color
HUG|Warm squeeze
HUGE|Enormous
HUMAN|Person
HUMID|Muggy
HUMOR|Comic sense
HUNDRED|Century's count
HUNT|Search hard
HURRY|Make it snappy
HUSBAND|Wife's partner
HUT|Simple shelter
ICE|Rink surface
ICON|Screen symbol
ICY|Slick underfoot
IDEA|Lightbulb moment
IDEAL|Perfect
IDLE|Doing nothing
ILL|Under the weather
IMAGE|Picture
IMAGINE|Picture it
IMP|Little troublemaker
IMPROVE|Make better
INCH|Twelfth of a foot
INCLUDE|Take in
INDEX|Book's back list
INDOORS|Out of the weather
INITIAL|First letter
INK|Pen's fluid
INN|Roadside lodging
INNER|Not outer
INPUT|Data fed in
INSTANT|A moment
INSTEAD|In place of
INTENSE|Very strong
INVITED|Asked over
IRE|Anger
IRON|Wrinkle remover
ISLANDS|Bits of land in the sea
ISSUE|Magazine number
ITEM|List entry
ITS|Belonging to it
IVORY|Piano key color
IVY|Wall climber
JAB|Boxer's punch
JACKETS|Light coats
JAM|Toast spread
JANUARY|Year's first month
JAR|Pickle holder
JAW|Chin's hinge
JAZZ|Sax genre
JEALOUS|Green with envy
JEANS|Denim pants
JELLY|Toast topper
JET|Fast plane
JEWEL|Gem
JIG|Lively dance
JOB|Day work
JOG|Easy run
JOINT|Knee, say
JOKE|Punchline setup
JOLLY|Merry
JOURNAL|Diary
JOURNEY|Long trip
JOY|Great delight
JUDGE|Court official
JUG|Milk container
JUGGLES|Keeps balls in the air
JUICE|Orange drink
JUMP|Leap
JUNE|Wedding month
JUNGLES|Dense forests
JUSTICE|Fairness
KEEP|Hold on to
KEEPING|Holding on to
KEG|Party beer holder
KELP|Sea plant
KENNELS|Dog boarding spots
KETCHUP|Fry topping
KEY|Lock opener
KICK|Boot
KID|Young goat
KIND|Sort
KING|Crown wearer
KINGDOM|Realm
KISS|Peck
KIT|Set of tools
KITCHEN|Cooking room
KITE|Windy day flier
KITTENS|Young cats
KNEE|Leg joint
KNIFE|Cutting utensil
KNIGHTS|Round table members
KNIT|Work with yarn
KNOCK|Rap on the door
KNOT|Rope tangle
KNOW|Be sure of
LAB|Science room
LABEL|Jar sticker
LABOR|Hard work
LACE|Shoe string
LAD|Young fellow
LADDERS|Climbing frames
LAG|Fall behind
LAKE|Inland water
LAMB|Spring baby
LAMP|Desk light
LAND|Touch down
LANE|Bowling path
LANTERN|Camping light
LAP|Track circuit
LARGE|Big
LARK|Songbird
LASER|Focused beam
LAST|Final
LATE|Past due
LATER|After a while
LAUGH|Crack up
LAUNDRY|Wash day pile
LAW|Rule on the books
LAWN|Mower's target
LAWYERS|Bar members
LAY|Put down
LAYER|Cake tier
LEA|Meadow
LEAD|Go first
LEADERS|Ones in charge
LEAF|Tree's green
LEAN|Not fatty
LEAP|Big jump
LEARN|Pick up
LEARNED|Picked up
LEASE|Rental deal
LEATHER|Boot material
LEAVE|Head out
LECTURE|Class talk
LED|Guided
LEFT|Right's opposite
LEG|Table support
LEISURE|Free time
LEMON|Sour citrus
LEND|Loan out
LENS|Camera glass
LESS|Not as much
LET|Allow
LETTERS|Alphabet members
LEVEL|Flat and even
LIBERTY|Freedom
LIBRARY|Book lender
LICENSE|Driver's card
LID|Jar topper
LIE|Untruth
LIFE|Existence
LIFT|Raise
LIGHT|Lamp's output
LIGHTER|Flame maker
LIKE|Be fond of
LIME|Green citrus
LIMIT|Speed sign figure
LIMITED|Restricted
LINE|Queue
LINEN|Tablecloth fabric
LINK|Chain part
LION|Savanna king
LIP|Cup's rim
LIST|To-do rundown
LISTENS|Lends an ear
LIT|Illuminated
LIVE|Not taped
LIVER|Body's filter
LOAD|Truck's cargo
LOAF|Bread unit
LOAN|Bank offer
LOB|High toss
LOBBY|Hotel entrance
LOBSTER|Clawed catch
LOCAL|From around here
LOCK|Key's match
LOCKERS|Gym storage
LODGE|Ski retreat
LOG|Fireplace fuel
LOGIC|Reason
LOGICAL|Reasonable
LONG|Not short
LOOK|Take a peek
LOOP|Full circle
LOOSE|Not tight
LOSE|Not win
LOT|Parking area
LOTTERY|Numbers draw
LOUD|Blaring
LOUNGES|Waiting rooms
LOVE|Adore
LOW|Not high
LOWER|Bring down
LOYAL|True blue
LOYALTY|Faithfulness
LUCK|Fortune
LUCKY|Fortunate
LUG|Haul
LUGGAGE|Suitcases
LUNCH|Noon meal
LUNG|Breathing organ
MACHINE|Factory device
MAD|Furious
MAGIC|Rabbit-from-a-hat art
MAIL|Postal delivery
MAILBOX|Letter drop
MAIN|Chief
MAJOR|Big-time
MAKE|Build
MALL|Shopping center
MAMMALS|Warm-blooded animals
MAN|Adult male
MANAGER|Boss
MANGO|Tropical fruit
MANNERS|Please and thank you
MANSION|Grand house
MANY|Numerous
MAP|Road guide
MAPLE|Syrup tree
MAR|Spoil
MARBLES|Shooter's game pieces
MARCH|Parade step
MARKETS|Trading places
MARSH|Wetland
MASK|Halloween cover
MASSIVE|Enormous
MAST|Sail's pole
MAT|Doormat
MATCH|Fire starter
MATE|Partner
MATH|Numbers class
MATTERS|Counts
MAXIMUM|The most
MAY|Fifth month
MAYBE|Perhaps
MEADOWS|Grassy fields
MEAL|Lunch, say
MEAN|Not nice
MEANING|Definition
MEASURE|Take the size of
MEAT|Butcher's stock
MEDAL|Olympic prize
MEDIA|Press
MEDICAL|Of doctors
MEETING|Conference room event
MELON|Summer fruit
MELT|Turn to liquid
MEMBERS|Club roster
MEN|Guys
MENTION|Bring up
MENU|Restaurant list
MERCURY|Closest planet to the sun
MERCY|Compassion
MERIT|Deserve
MERMAID|Fabled swimmer
MESSAGE|Voicemail
MET|Ran into
METAL|Iron or tin
METER|Parking timer
MICE|Cheese nibblers
MIDST|The thick of it
MIGHT|Strength
MILD|Not spicy
MILE|Race unit
MILK|Cereal's partner
MILLION|Seven figures
MIND|Brain's work
MINER|Underground worker
MINERAL|Rock's makeup
MINOR|Small-time
MINT|Fresh herb
MINUTES|Hour's sixty
MIRACLE|Wonder
MISS|Fail to catch
MISSING|Nowhere to be found
MISTAKE|Slip-up
MIX|Blend
MIXER|Kitchen whipper
MIXTURE|Blend
MOB|Unruly crowd
MODEL|Runway walker
MOIST|Slightly damp
MOLD|Bread's fuzz
MOM|Mother
MOMENTS|Brief spells
MONEY|Wallet contents
MONITOR|Screen
MONKEYS|Tree swingers
MONSTER|Closet dweller
MONTH|Calendar page
MONTHLY|Once every thirty days
MOO|Cow's call
MOON|Night light
MOP|Floor cleaner
MORNING|Before noon
MOSS|Rock's green
MOST|Nearly all
MOTH|Flame circler
MOTOR|Engine
MOUNT|Climb onto
MOUSE|Computer clicker
MOUTH|Where food goes
MOVE|Change places
MOVIE|Theater feature
MOW|Cut the grass
MUCH|A lot
MUD|Rain's mess
MUG|Coffee cup
MULE|Stubborn beast
MUSIC|Radio's output
MUSICAL|Broadway show
MUSTARD|Hot dog topping
MYSTERY|Whodunit
NAB|Catch
NAG|Pester
NAIL|Hammer's target
NAME|What you're called
NAP|Short sleep
NATURAL|Not artificial
NAVY|Sea force
NAY|Vote against
NEAR|Close by
NEAREST|Closest
NEAT|Tidy
NECK|Head's support
NECKTIE|Collar accessory
NEED|Must have
NEEDLES|Pine tree points
NERVOUS|Jittery
NEST|Bird's cradle
NET|Tennis divider
NETWORK|Linked group
NEUTRAL|Taking no side
NEVER|Not once
NEW|Fresh off the line
NEWS|Evening broadcast
NEXT|Following
NICE|Pleasant
NIGHT|Day's opposite
NIL|Zero
NINE|Baseball team size
NIP|Small bite
NOBLE|High-minded
NOD|Yes, wordlessly
NOISE|Racket
NOR|Neither's partner
NORTH|Compass point
NOSE|Smeller
NOT|Negative word
NOTE|Quick memo
NOTHING|Zilch
NOUN|Person, place, or thing
NOVEL|Long story
NOW|At this moment
NOWHERE|Not anyplace
NURSE|Ward worker
NURSERY|Plant shop
NUT|Bolt's partner
OAF|Clumsy one
OAK|Acorn tree
OAR|Rowboat paddle
OAT|Porridge grain
OATH|Courtroom promise
OBEY|Follow orders
OBVIOUS|Plain to see
OCEAN|Vast blue
OCTOBER|Halloween month
OCTOPUS|Eight-armed swimmer
ODD|Not even
ODE|Poem of praise
OFF|Not on
OFFER|Put forward
OFFICER|Badge wearer
OFFICES|Cubicle sites
OFTEN|Frequently
OHM|Resistance unit
OIL|Salad dressing base
OLD|Up in years
OMIT|Leave out
ONCE|One time
ONE|Number of noses you have
ONESELF|Alone
ONION|Tear-jerking bulb
ONLY|Sole
OPEN|Not shut
OPENING|First night
OPINION|Point of view
OPPOSED|Against
OPT|Choose
ORAL|Spoken
ORANGES|Juice fruits
ORB|Sphere
ORBIT|Satellite's path
ORCHARD|Apple grove
ORCHIDS|Showy flowers
ORDER|Diner request
ORE|Miner's find
ORGAN|Church keyboard
ORGANIC|Pesticide-free
OTHER|The alternative
OTTER|Playful swimmer
OUGHT|Should
OUR|Belonging to us
OUT|Not in
